title,authors,pubdate,tags,#grrating,#grvotes,#wordcount,#pagecount,size,publisher
"Ralestone Luck","Andre Norton","2025-05-14T15:57:11-04:00","","","","59600","212","571988","Standard Ebooks"
"Star Born","Andre Norton","2019-11-24T15:35:18-05:00","Science Fiction","","","62718","197","615880","Standard Ebooks"
"Star Hunter","Andre Norton","2018-10-09T18:53:08-04:00","Science Fiction","","","34586","117","964167","Standard Ebooks"
"Storm Over Warlock","Andre Norton","2022-05-31T13:40:41-04:00","Science Fiction","","","62666","200","560751","Standard Ebooks"
"The Defiant Agents","Andre Norton","2022-10-26T17:42:35-04:00","Science Fiction","","","58408","192","758992","Standard Ebooks"
"The Time Traders","Andre Norton","2020-06-26T13:52:20-04:00","Science Fiction","","","64502","201","502596","Standard Ebooks"
"Voodoo Planet","Andre Norton","2018-09-17T19:11:02-04:00","Science Fiction","","","24118","80","604890","Standard Ebooks"
"A Popular Schoolgirl","Angela Brazil","2019-11-28T13:33:29-05:00","","","","65110","210","478662","Standard Ebooks"
"A Sicilian Romance","Ann Radcliffe","2021-07-28T14:13:31-04:00","Gothic fiction","","","68403","202","531970","Standard Ebooks"
"The Mysteries of Udolpho","Ann Radcliffe","2024-02-05T12:50:32-05:00","Horror tales, Gothic fiction","","","292016","885","1163863","Standard Ebooks"
"A Voice from the South","Anna Julia Cooper","2024-07-15T12:50:49-04:00","","","","61176","181","471239","Standard Ebooks"
"A Strange Disappearance","Anna Katharine Green","2024-09-04T13:48:47-04:00","Mystery Fiction","","","52041","158","543555","Standard Ebooks"
"Lost Man’s Lane","Anna Katharine Green","2026-01-27T14:00:47-05:00","Detective and mystery stories","","","93957","290","625138","Standard Ebooks"
"That Affair Next Door","Anna Katharine Green","2025-09-15T15:55:00-04:00","Detective and mystery stories","","","105487","352","670335","Standard Ebooks"
"The Leavenworth Case: A Lawyer’s Story","Anna Katharine Green","2024-07-22T13:07:48-04:00","Detective and mystery stories","","","111553","380","695773","Standard Ebooks"
"Black Beauty: The Autobiography of a Horse","Anna Sewell","2019-11-27T17:22:34-05:00","Historical fiction","","","60475","171","428080","Standard Ebooks"
"The Tenant of Wildfell Hall","Anne Brontë","2020-02-17T23:42:13-05:00","Domestic fiction","","","167842","520","839608","Standard Ebooks"
"Gudrun","Anonymous","2025-05-20T12:31:35-04:00","","","","82043","342","547225","Standard Ebooks"
"Sir Gawain and the Green Knight","Anonymous","2026-02-22T20:31:48-05:00","","","","26716","95","475105","Standard Ebooks"
"The Life of Lazarillo de Tormes: His Fortunes and Adversities","Anonymous","2026-03-02T17:16:44-05:00","","","","23177","63","712993","Standard Ebooks"
"The Nibelungenlied","Anonymous","2021-04-02T18:44:27-04:00","","","","101161","540","601105","Standard Ebooks"
"The Layton Court Mystery","Anthony Berkeley","2026-01-30T14:20:08-05:00","Detective and mystery stories","","","73834","265","520543","Standard Ebooks"
"Barchester Towers","Anthony Trollope","2018-02-02T00:22:34-05:00","Domestic fiction","","","199100","604","838161","Standard Ebooks"
"The Poisoned Chocolates Case","Anthony Berkeley","2025-04-20T23:39:39-04:00","Detective and mystery stories","","","66804","220","734299","Standard Ebooks"
"The Prisoner of Zenda: Being the History of Three Months in the Life of an English Gentleman","Anthony Hope","2018-12-17T21:14:41-05:00","Adventure stories","","","54665","188","539909","Standard Ebooks"
"Cousin Henry","Anthony Trollope","2022-10-10T12:21:08-04:00","Domestic fiction","","","71701","212","551720","Standard Ebooks"
"Doctor Thorne","Anthony Trollope","2021-09-19T13:47:06-04:00","Love stories, Domestic fiction","","","218445","685","715640","Standard Ebooks"
"Can You Forgive Her?","Anthony Trollope","2022-10-30T23:50:46-04:00","Love stories, Political fiction, Palliser","","","316871","955","980126","Standard Ebooks"
"Framley Parsonage","Anthony Trollope","2021-11-22T21:12:44-05:00","Domestic fiction","","","209767","648","750633","Standard Ebooks"
"Harry Heathcote of Gangoil: A Tale of Australian Bush Life","Anthony Trollope","2022-10-07T15:44:08-04:00","","","","41319","129","533511","Standard Ebooks"
"Orley Farm","Anthony Trollope","2024-02-13T15:24:43-05:00","Domestic fiction","","","310202","953","1336338","Standard Ebooks"
"He Knew He Was Right","Anthony Trollope","2023-09-25T14:57:47-04:00","Psychological fiction, Domestic fiction","","","343080","1028","1188768","Standard Ebooks"
"Phineas Finn: The Irish Member","Anthony Trollope","2022-11-26T00:02:11-05:00","Political fiction, Palliser","","","263881","800","943839","Standard Ebooks"
"Phineas Redux","Anthony Trollope","2023-01-14T02:13:57-05:00","Psychological fiction, Political fiction, Palliser, Suspense fiction","","","262336","785","1115212","Standard Ebooks"
"Rachel Ray","Anthony Trollope","2024-09-26T16:04:00-04:00","Love stories","","","143797","433","820921","Standard Ebooks"
"The American Senator","Anthony Trollope","2024-08-05T00:47:42-04:00","Political fiction","","","209001","632","812170","Standard Ebooks"
"The Claverings","Anthony Trollope","2023-08-24T16:50:58-04:00","Love stories","","","207925","622","957971","Standard Ebooks"
"The Duke’s Children","Anthony Trollope","2023-01-25T16:14:39-05:00","Domestic fiction, Political fiction, Palliser","","","224526","717","902223","Standard Ebooks"
"The Eustace Diamonds","Anthony Trollope","2022-12-04T01:23:50-05:00","Satire, Political fiction, Palliser","","","270493","809","965502","Standard Ebooks"
"The Last Chronicle of Barset","Anthony Trollope","2022-05-04T17:52:13-04:00","Psychological fiction, Love stories, Domestic fiction","","","345964","1053","1189856","Standard Ebooks"
"The Vicar of Bullhampton","Anthony Trollope","2025-08-18T22:11:21-04:00","","","","209677","622","844625","Standard Ebooks"
"The Small House at Allington","Anthony Trollope","2022-03-11T12:43:58-05:00","Domestic fiction","","","258349","793","954309","Standard Ebooks"
"The Prime Minister","Anthony Trollope","2023-01-17T00:40:18-05:00","Political fiction, Palliser","","","283692","854","1218779","Standard Ebooks"
"The Warden","Anthony Trollope","2018-01-16T19:32:44-05:00","Satire, Domestic fiction","","","72735","218","843931","Standard Ebooks"
"The Way We Live Now","Anthony Trollope","2019-06-13T18:56:08-04:00","Satire","","","353244","1055","1073638","Standard Ebooks"
"The Cherry Orchard: A Comedy in Four Acts","Anton Chekhov","2025-09-25T16:55:05-04:00","","","","18324","44","634952","Standard Ebooks"
"The Seagull: A Comedy in Four Acts","Anton Chekhov","2025-10-13T12:44:36-04:00","","","","19410","46","408815","Standard Ebooks"
"Uncle Vanya: Scenes from Country Life, in Four Acts","Anton Chekhov","2025-10-04T11:30:16-04:00","","","","17300","41","753747","Standard Ebooks"
"Three Sisters","Anton Chekhov","2021-04-07T15:19:43-04:00","","","","21922","53","382841","Standard Ebooks"
"The Argonautica","Apollonius of Rhodes","2024-05-23T16:34:02-04:00","","","","71726","221","641627","Standard Ebooks"
"The Golden Ass","Apuleius","2022-08-14T21:39:06-04:00","","","","87663","227","510283","Standard Ebooks"
"The Worst Journey in the World: Antarctic 1910–1913","Apsley Cherry-Garrard","2014-05-24T20:00:00-04:00","","","","245119","688","3423785","Standard Ebooks"
"A Day at a Time: And Other Talks on Life and Religion","Archibald Alexander","2024-02-04T23:34:16-05:00","English","","","39891","112","465668","Standard Ebooks"
"Nicomachean Ethics","Aristotle","2018-12-03T15:14:08-05:00","Ethics","","","101687","314","784895","Standard Ebooks"
"Anna of the Five Towns","Arnold Bennett","2026-02-12T13:48:56-05:00","","","","74806","250","561425","Standard Ebooks"
"Riceyman Steps","Arnold Bennett","2022-06-02T15:38:55-04:00","","","","95636","310","760968","Standard Ebooks"
"The Grand Babylon Hotel","Arnold Bennett","2018-07-24T18:23:55-04:00","","","","68581","239","578905","Standard Ebooks"
"The Old Wives’ Tale","Arnold Bennett","2022-05-09T22:59:51-04:00","Domestic fiction","","","217843","721","980151","Standard Ebooks"
"A Study in Scarlet","Arthur Conan Doyle","2018-04-05T22:45:51-04:00","Holmes, Detective and mystery stories","","","44100","137","545107","Standard Ebooks"
"His Last Bow: Some Reminiscences of Sherlock Holmes","Arthur Conan Doyle","2018-09-15T13:31:37-04:00","Holmes, Detective and mystery stories","","","59881","196","644554","Standard Ebooks"
"The Casebook of Sherlock Holmes","Arthur Conan Doyle","2023-03-16T01:12:57-04:00","Holmes, Detective and mystery stories, English","","","83553","278","696351","Standard Ebooks"
"The Hound of the Baskervilles","Arthur Conan Doyle","2017-12-26T18:14:09-05:00","Holmes, Detective and mystery stories","","","59997","195","457591","Standard Ebooks"
"The Adventures of Sherlock Holmes","Arthur Conan Doyle","2018-05-07T22:24:50-04:00","Holmes, Detective and mystery stories, English","","","105277","340","649449","Standard Ebooks"
"The Return of Sherlock Holmes","Arthur Conan Doyle","2018-07-27T17:25:04-04:00","Holmes, Detective and mystery stories, English","","","113328","363","835247","Standard Ebooks"
"The Maracot Deep","Arthur Conan Doyle","2025-01-01T04:01:00-05:00","Science Fiction, Sea stories, Adventure stories","","","41833","120","463938","Standard Ebooks"
"The Memoirs of Sherlock Holmes","Arthur Conan Doyle","2018-05-23T18:15:36-04:00","Holmes, Detective and mystery stories, English","","","96189","307","588429","Standard Ebooks"
"The Sign of the Four","Arthur Conan Doyle","2018-04-12T18:22:47-04:00","Holmes, Detective and mystery stories","","","43809","133","815545","Standard Ebooks"
"The White Company","Arthur Conan Doyle","2025-10-15T19:35:37-04:00","Historical fiction, War stories","","","151543","453","715646","Standard Ebooks"
"The Valley of Fear","Arthur Conan Doyle","2019-09-23T12:47:44-04:00","Holmes, Detective and mystery stories","","","58466","194","620509","Standard Ebooks"
"The Hill of Dreams","Arthur Machen","2019-10-30T17:30:01-04:00","","","","69255","190","422175","Standard Ebooks"
"The Secret Glory","Arthur Machen","2023-09-20T16:58:31-04:00","","","","66376","188","683675","Standard Ebooks"
"On the Art of Reading","Arthur Quiller-Couch","2024-01-31T11:04:18-05:00","","","","63340","203","416383","Standard Ebooks"
"The Three Impostors: The Transmutations","Arthur Machen","2022-08-28T17:15:01-04:00","Fiction, Horror tales, English","","","59457","167","507492","Standard Ebooks"
"On the Art of Writing","Arthur Quiller-Couch","2024-01-24T00:41:37-05:00","","","","65008","199","732960","Standard Ebooks"
"Swallows and Amazons","Arthur Ransome","2026-01-01T11:00:19-05:00","","","","99914","360","876631","Standard Ebooks"
"The Splendid Spur: Being Memoirs of the Adventures of Mr. John Marvel, a Servant of His Late Majesty King Charles I, in the Years 1642–3","Arthur Quiller-Couch","2024-09-18T13:23:53-04:00","","","","70621","233","642946","Standard Ebooks"
"The Inferno","August Strindberg","2018-03-20T17:53:08-04:00","Autobiographical fiction, Authors","","","46604","140","421923","Standard Ebooks"
"The Red Room","August Strindberg","2017-07-07T16:10:32-04:00","","","","99945","352","658585","Standard Ebooks"
"The Second Mrs. Tanqueray","Arthur W. Pinero","2019-03-14T11:41:55-04:00","","","","24656","60","658767","Standard Ebooks"
"A General View of Positivism","Auguste Comte","2018-05-22T14:19:15-04:00","Philosophy","","","132563","389","629374","Standard Ebooks"
"An Outback Marriage","Banjo Paterson","2020-12-23T16:22:18-05:00","","","","68008","213","619513","Standard Ebooks"
"The House Without Windows: And Eepersip’s Life There","Barbara Newhall Follett","2024-04-13T12:41:51-04:00","Fiction","","","35742","107","677817","Standard Ebooks"
"El Dorado","Baroness Orczy","2020-12-15T16:55:26-05:00","Historical fiction, Adventure stories, Blakeney, Percy","","","123893","410","789584","Standard Ebooks"
"I Will Repay","Baroness Orczy","2020-12-05T18:58:26-05:00","","","","64478","231","500391","Standard Ebooks"
"Lord Tony’s Wife","Baroness Orczy","2020-12-31T14:51:28-05:00","Historical fiction, Adventure stories, Blakeney, Percy","","","90337","292","589435","Standard Ebooks"
"Sir Percy Hits Back","Baroness Orczy","2023-01-01T15:26:08-05:00","Historical fiction, Adventure stories, Blakeney, Percy","","","89659","284","598908","Standard Ebooks"
"Pimpernel and Rosemary","Baroness Orczy","2021-01-22T13:01:40-05:00","World War, Adventure stories","","","107991","352","686881","Standard Ebooks"
"The Elusive Pimpernel","Baroness Orczy","2020-12-07T22:00:02-05:00","Historical fiction, Adventure stories, Blakeney, Percy","","","84271","287","472468","Standard Ebooks"
"The First Sir Percy","Baroness Orczy","2021-01-08T12:32:54-05:00","Historical fiction, Adventure stories","","","92441","303","599571","Standard Ebooks"
"The Laughing Cavalier","Baroness Orczy","2020-12-20T22:54:45-05:00","Historical fiction, Adventure stories","","","128639","428","831038","Standard Ebooks"
"The League of the Scarlet Pimpernel","Baroness Orczy","2021-01-14T12:14:01-05:00","Historical fiction, Adventure stories, Blakeney, Percy","","","76320","250","674875","Standard Ebooks"
"The Scarlet Pimpernel","Baroness Orczy","2018-12-13T17:24:34-05:00","Historical fiction, Adventure stories, Blakeney, Percy","","","85300","290","589330","Standard Ebooks"
"The Triumph of the Scarlet Pimpernel","Baroness Orczy","2021-01-16T21:19:42-05:00","Historical fiction, Adventure stories, Blakeney, Percy","","","91232","307","594954","Standard Ebooks"
"The Old Man in the Corner","Baroness Orczy","2023-05-08T12:34:50-04:00","Detective and mystery stories, English","","","70837","228","1132201","Standard Ebooks"
"The Conscience of a Conservative","Barry Goldwater","2025-08-21T11:50:31-04:00","","","","27626","85","525964","Standard Ebooks"
"The Alchemist","Ben Jonson","2019-04-12T18:10:41-04:00","","","","31117","163","713351","Standard Ebooks"
"Trafalgar","Benito Pérez Galdós","2025-03-06T14:51:25-05:00","","","","56787","159","642378","Standard Ebooks"
"The Autobiography of Benjamin Franklin","Benjamin Franklin","2016-12-11T18:08:06-05:00","","","","68298","198","508165","Standard Ebooks"
"Lay Down Your Arms: The Autobiography of Martha von Tilling","Bertha von Suttner","2024-05-09T22:51:41-04:00","War","","","154278","467","1178446","Standard Ebooks"
"Sybil: Or, the Two Nations","Benjamin Disraeli","2018-09-07T18:16:36-04:00","Love stories, Political fiction","","","158964","515","959578","Standard Ebooks"
"Roads to Freedom: Socialism, Anarchism, and Syndicalism","Bertrand Russell","2024-01-03T16:03:46-05:00","","","","54135","159","646127","Standard Ebooks"
"The Problems of Philosophy","Bertrand Russell","2019-07-16T12:44:31-04:00","","","","43527","124","501284","Standard Ebooks"
"The Practice and Theory of Bolshevism","Bertrand Russell","2024-11-11T17:39:45-05:00","","","","38423","115","507774","Standard Ebooks"
"The Consolation of Philosophy","Boethius","2023-09-29T13:41:33-04:00","","","","42937","136","1020830","Standard Ebooks"
"The Autobiography of Ma-Ka-Tai-Me-She-Kia-Kiak, or Black Hawk","Black Hawk","2021-07-29T17:13:15-04:00","","","","65492","184","576254","Standard Ebooks"
"Up from Slavery: An Autobiography","Booker T. Washington","2019-09-26T13:49:03-04:00","","","","77468","216","577630","Standard Ebooks"
"National Avenue","Booth Tarkington","2021-01-06T15:32:51-05:00","","","","100478","324","799884","Standard Ebooks"
"Alice Adams","Booth Tarkington","2017-09-20T23:47:27-04:00","Domestic fiction, Bildungsromans","","","85678","292","771835","Standard Ebooks"
"The Magnificent Ambersons","Booth Tarkington","2017-06-14T23:40:12-04:00","Psychological fiction, Domestic fiction","","","101129","333","635946","Standard Ebooks"
"Disenchantment","C. E. Montague","2025-02-17T21:43:24-05:00","World War","","","61464","169","436289","Standard Ebooks"
"The Turmoil","Booth Tarkington","2020-10-04T14:35:04-04:00","Domestic fiction, Bildungsromans","","","91156","293","1020305","Standard Ebooks"
"The Lost Continent: The Story of Atlantis","C. J. Cutcliffe Hyne","2017-02-06T18:35:56-05:00","Science Fiction, Fantasy Fiction","","","98169","286","717852","Standard Ebooks"
"Brown on Resolution","C. S. Forester","2025-01-01T04:01:00-05:00","World War, Sea stories","","","50862","146","496589","Standard Ebooks"
"Blind Mice","C. Kay Scott","2025-09-12T17:38:34-04:00","","","","97897","403","750678","Standard Ebooks"
"Payment Deferred","C. S. Forester","2025-12-18T17:08:02-05:00","","","","60368","185","677521","Standard Ebooks"
"Omega: The Last Days of the World","Camille Flammarion","2018-09-10T16:12:50-04:00","Science Fiction","","","56265","171","528082","Standard Ebooks"
"The Autobiography of Calvin Coolidge","Calvin Coolidge","2025-01-01T04:01:00-05:00","","","","45420","134","4121194","Standard Ebooks"
"Stand by for Mars!","Carey Rockwell","2019-01-23T22:59:21-05:00","Science Fiction","","","57412","219","373678","Standard Ebooks"
"A General History of the Pirates: From Their First Rise and Settlement in the Islands of Providence to the Present Time","Captain Charles Johnson","2023-03-30T16:17:28-04:00","","","","125649","358","961827","Standard Ebooks"
"The Adventures of Pinocchio","Carlo Collodi","2021-01-03T17:58:47-05:00","Fairy Tales","","","42317","159","489688","Standard Ebooks"
"The Bungalow Mystery","Carolyn Keene","2026-01-01T11:00:20-05:00","Mystery and detective stories","","","38680","152","550246","Standard Ebooks"
"The Mystery at Lilac Inn","Carolyn Keene","2026-01-01T11:00:22-05:00","Mystery and detective stories","","","38735","152","619797","Standard Ebooks"
"The Hidden Staircase","Carolyn Keene","2026-01-01T11:00:21-05:00","Mystery and detective stories","","","38941","153","617338","Standard Ebooks"
"The Secret of the Old Clock","Carolyn Keene","2026-01-01T11:00:22-05:00","Mystery and detective stories","","","41184","154","409524","Standard Ebooks"
"The Clue","Carolyn Wells","2025-10-22T11:59:15-04:00","Fiction, Detective and mystery stories","","","63632","227","545164","Standard Ebooks"
"“We”","Charles A. Lindbergh","2026-01-17T15:15:48-05:00","","","","53225","164","3446124","Standard Ebooks"
"Passages from the Life of a Philosopher","Charles Babbage","2019-07-20T17:10:32-04:00","","","","143447","462","721494","Standard Ebooks"
"The Experiences of Loveday Brooke, Lady Detective","Catherine Louisa Pirkis","2026-03-22T22:45:33-04:00","Detective and mystery stories","","","64141","202","770229","Standard Ebooks"
"The Origin of Species: Or, the Preservation of Favoured Races in the Struggle for Life","Charles Darwin","2019-01-14T23:52:30-05:00","","","","201231","585","840573","Standard Ebooks"
"The Voyage of the Beagle","Charles Darwin","2023-09-23T11:21:00-04:00","","","","207459","581","3149463","Standard Ebooks"
"Bleak House","Charles Dickens","2017-11-04T21:41:26-04:00","Domestic fiction, Bildungsromans","","","355717","1122","1179007","Standard Ebooks"
"Dombey and Son","Charles Dickens","2023-02-13T14:45:52-05:00","Domestic fiction","","","352063","1132","1108562","Standard Ebooks"
"Little Dorrit","Charles Dickens","2021-08-22T15:05:01-04:00","Love stories, Domestic fiction","","","339742","1078","1098527","Standard Ebooks"
"Hard Times: For These Times","Charles Dickens","2018-10-01T20:05:33-04:00","Domestic fiction, Political fiction","","","104056","336","925644","Standard Ebooks"
"Martin Chuzzlewit","Charles Dickens","2025-01-24T21:05:43-05:00","Satire, Bildungsromans, Adventure stories, Black Humor","","","338729","1095","1079978","Standard Ebooks"
"Nicholas Nickleby","Charles Dickens","2024-08-29T16:55:08-04:00","Bildungsromans","","","326030","1086","1121807","Standard Ebooks"
"Oliver Twist: Or, the Parish Boy’s Progress","Charles Dickens","2020-03-01T12:50:51-05:00","Bildungsromans","","","158483","532","856458","Standard Ebooks"
"The Pickwick Papers","Charles Dickens","2024-10-01T20:05:08-04:00","Humorous Stories","","","302664","1059","1218780","Standard Ebooks"
"The Water-Babies: A Fairy Tale for a Land-Baby","Charles Kingsley","2023-11-08T13:46:57-05:00","","","","69008","214","543490","Standard Ebooks"
"Melmoth the Wanderer","Charles Robert Maturin","2024-03-15T14:17:44-04:00","Horror tales, Gothic fiction, Paranormal fiction","","","242814","716","906581","Standard Ebooks"
"The Marrow of Tradition","Charles W. Chesnutt","2024-02-07T12:03:10-05:00","Historical fiction","","","89954","282","683980","Standard Ebooks"
"The Conjure Woman","Charles W. Chesnutt","2019-02-28T15:33:07-05:00","","","","57141","164","463192","Standard Ebooks"
"Jane Eyre: An Autobiography","Charlotte Brontë","2019-11-10T14:43:54-05:00","Love stories, Bildungsromans","","","188038","603","882023","Standard Ebooks"
"Villette","Charlotte Brontë","2020-06-16T15:28:12-04:00","Autobiographical fiction, Love stories","","","197576","632","767130","Standard Ebooks"
"Shirley","Charlotte Brontë","2020-04-08T13:35:26-04:00","Historical fiction","","","217335","724","1066661","Standard Ebooks"
"Herland","Charlotte Perkins Gilman","2020-05-31T21:09:43-04:00","Utopian fiction, Black Humor","","","53775","182","924576","Standard Ebooks"
"Women and Economics: A Study of the Economic Relation Between Men and Women as a Factor in Social Evolution","Charlotte Perkins Gilman","2021-03-20T21:15:44-04:00","","","","73607","215","619600","Standard Ebooks"
"Edward II","Christopher Marlowe","2024-08-23T15:01:11-04:00","","","","23984","84","324724","Standard Ebooks"
"The Tragical History of Doctor Faustus","Christopher Marlowe","2019-03-31T13:51:53-04:00","","","","15270","41","396188","Standard Ebooks"
"The Jew of Malta","Christopher Marlowe","2021-07-24T20:10:50-04:00","","","","21514","100","375721","Standard Ebooks"
"Parnassus on Wheels","Christopher Morley","2017-11-02T17:43:32-04:00","","","","36679","111","676756","Standard Ebooks"
"The Haunted Bookshop","Christopher Morley","2018-04-26T19:45:54-04:00","Mystery and detective stories","","","62471","202","551266","Standard Ebooks"
"Theodore Savage: A Story of the Past or the Future","Cicely Hamilton","2023-11-12T14:27:44-05:00","Science Fiction","","","62909","185","577684","Standard Ebooks"
"William—An Englishman","Cicely Hamilton","2025-03-30T22:10:55-04:00","World War","","","62648","178","639316","Standard Ebooks"
"Tusculan Disputations","Cicero","2020-03-23T18:13:21-04:00","","","","80585","211","564739","Standard Ebooks"
"The Old English Baron: A Gothic Story","Clara Reeve","2025-09-25T17:27:24-04:00","Historical fiction, Gothic fiction","","","55840","184","351004","Standard Ebooks"
"Home to Harlem","Claude McKay","2026-02-25T10:23:43-05:00","","","","53695","188","306797","Standard Ebooks"
"Sinister Street","Compton Mackenzie","2020-04-20T20:48:54-04:00","Bildungsromans","","","344936","1151","1158687","Standard Ebooks"
"The Splendid Fairing","Constance Holme","2025-05-05T12:54:03-04:00","Fiction","","","68973","201","549143","Standard Ebooks"
"Lady Chatterley’s Lover","D. H. Lawrence","2024-12-10T12:22:53-05:00","Love stories","","","118338","411","696973","Standard Ebooks"
"The Lost Girl","D. H. Lawrence","2025-02-10T16:59:26-05:00","Psychological fiction, Love stories","","","136952","487","938645","Standard Ebooks"
"The Rainbow","D. H. Lawrence","2021-05-23T22:04:40-04:00","Domestic fiction","","","186910","618","886394","Standard Ebooks"
"The Young Visiters: Or, Mr. Salteena’s Plan","Daisy Ashford","2019-04-08T18:01:12-04:00","Humorous Stories, Love stories, English","","","15387","50","424831","Standard Ebooks"
"A Journal of the Plague Year","Daniel Defoe","2016-09-27T18:35:37-04:00","Historical fiction, England","","","95622","263","705452","Standard Ebooks"
"The Life and Adventures of Robinson Crusoe","Daniel Defoe","2017-12-09T13:37:23-05:00","Adventure stories","","","121777","311","568648","Standard Ebooks"
"Continental Op Stories","Dashiell Hammett","2026-02-11T16:15:55-05:00","","","","311446","1107","929019","Standard Ebooks"
"The Dain Curse","Dashiell Hammett","2025-01-01T04:01:00-05:00","","","","69391","240","785862","Standard Ebooks"
"Lady Into Fox","David Garnett","2022-05-09T22:16:55-04:00","Fantasy Fiction, English","","","25235","70","346039","Standard Ebooks"
"An Enquiry Concerning Human Understanding","David Hume","2024-09-09T15:27:34-04:00","Ethics","","","54278","158","590174","Standard Ebooks"
"A Voyage to Arcturus","David Lindsay","2017-01-04T16:54:32-05:00","Science Fiction, Psychological fiction","","","93738","345","752451","Standard Ebooks"
"The Book of Jade","David Park Barnitz","2024-03-22T16:54:00-04:00","","","","13780","54","449417","Standard Ebooks"
"The Indiscreet Jewels","Denis Diderot","2025-10-22T12:06:31-04:00","","","","79508","254","656740","Standard Ebooks"
"The Lives and Opinions of Eminent Philosophers","Diogenes Laërtius","2020-05-02T14:23:25-04:00","Philosophy, Ancient","","","185927","562","722554","Standard Ebooks"
"Blind Corner","Dornford Yates","2026-04-02T14:06:11-04:00","Adventure stories","","","71785","224","830690","Standard Ebooks"
"Understood Betsy","Dorothy Canfield Fisher","2025-03-19T15:55:42-04:00","","","","47693","144","449352","Standard Ebooks"
"The Homemaker","Dorothy Canfield Fisher","2025-03-13T12:14:10-04:00","Domestic fiction","","","70043","217","672542","Standard Ebooks"
"The Eleventh Virgin","Dorothy Day","2021-05-18T11:05:20-04:00","","","","71633","220","784419","Standard Ebooks"
"Clouds of Witness","Dorothy L. Sayers","2023-01-01T15:27:37-05:00","Detective and mystery stories, Wimsey, Peter, Lord (Fictitious character)","","","84271","298","485791","Standard Ebooks"
"Lord Peter Views the Body","Dorothy L. Sayers","2024-01-01T12:31:56-05:00","Detective and mystery stories, Wimsey, Peter, Lord (Fictitious character)","","","94418","332","894064","Standard Ebooks"
"Strong Poison","Dorothy L. Sayers","2026-01-01T11:00:26-05:00","Detective and mystery stories, Wimsey, Peter, Lord (Fictitious character)","","","78769","275","605593","Standard Ebooks"
"Unnatural Death","Dorothy L. Sayers","2023-01-01T15:28:37-05:00","Detective and mystery stories, Wimsey, Peter, Lord (Fictitious character)","","","81941","275","661745","Standard Ebooks"
"The Unpleasantness at the Bellona Club","Dorothy L. Sayers","2024-01-01T12:32:35-05:00","Detective and mystery stories, Wimsey, Peter, Lord (Fictitious character)","","","72959","271","586707","Standard Ebooks"
"Backwater","Dorothy M. Richardson","2023-11-29T11:52:18-05:00","Autobiographical fiction","","","54384","177","528635","Standard Ebooks"
"Whose Body?: The Singular Adventure of the Man with the Golden Pince-Nez","Dorothy L. Sayers","2019-06-18T19:06:49-04:00","Detective and mystery stories, Wimsey, Peter, Lord (Fictitious character)","","","60082","207","484026","Standard Ebooks"
"Honeycomb","Dorothy M. Richardson","2024-04-10T20:11:00-04:00","Autobiographical fiction","","","49832","152","753970","Standard Ebooks"
"The Tunnel","Dorothy M. Richardson","2025-01-29T19:36:34-05:00","Autobiographical fiction","","","93730","301","591101","Standard Ebooks"
"Pointed Roofs","Dorothy M. Richardson","2022-04-26T16:34:39-04:00","Autobiographical fiction","","","57907","191","811765","Standard Ebooks"
"Trent’s Last Case","E. C. Bentley","2023-05-01T02:34:23-04:00","Detective and mystery stories","","","75389","217","478634","Standard Ebooks"
"The Enormous Room","E. E. Cummings","2021-01-10T13:43:54-05:00","Autobiographical fiction, War stories, World War","","","93838","290","986285","Standard Ebooks"
"First Lensman","E. E. Smith","2020-07-06T20:07:28-04:00","Science Fiction","","","99073","337","614249","Standard Ebooks"
"The Skylark of Space","E. E. Smith","2022-01-08T19:12:33-05:00","Science Fiction","","","85014","279","574889","Standard Ebooks"
"Triplanetary","E. E. Smith","2020-06-09T16:59:22-04:00","Science Fiction","","","92256","302","459468","Standard Ebooks"
"Ghost Stories","E. F. Benson","2024-03-15T23:06:15-04:00","Horror tales, English, Short Stories","","","155709","466","676629","Standard Ebooks"
"The Cruise of the Alerte: The Narrative of a Search for Treasure on the Desert Island of Trinidad","E. F. Knight","2025-02-10T14:38:10-05:00","","","","75697","217","569441","Standard Ebooks"
"A Passage to India","E. M. Forster","2020-05-23T21:22:38-04:00","Political fiction","","","101687","334","765092","Standard Ebooks"
"Miss Mole","E. H. Young","2026-01-01T11:00:30-05:00","","","","100143","314","1166593","Standard Ebooks"
"Aspects of the Novel","E. M. Forster","2025-07-17T14:47:43-04:00","","","","46159","130","728311","Standard Ebooks"
"Where Angels Fear to Tread","E. M. Forster","2022-02-28T17:15:12-05:00","Historical fiction, Humorous Stories","","","50625","170","530593","Standard Ebooks"
"Five Children and It","E. Nesbit","2020-10-13T22:04:28-04:00","","","","53821","180","679851","Standard Ebooks"
"Harding’s Luck","E. Nesbit","2021-01-02T18:43:26-05:00","Fantasy Fiction","","","69620","229","439837","Standard Ebooks"
"The House of Arden","E. Nesbit","2020-12-15T16:45:06-05:00","","","","73386","248","348808","Standard Ebooks"
"The Enchanted Castle","E. Nesbit","2018-04-01T23:44:34-04:00","Fantasy Fiction, English","","","68946","248","750735","Standard Ebooks"
"The Magic City","E. Nesbit","2024-10-11T12:12:48-04:00","Fantasy literature","","","59654","206","392928","Standard Ebooks"
