title,authors,pubdate,tags,#grrating,#grvotes,#wordcount,#pagecount,size,publisher
"Citizen Soldiers: The U.S. Army From the Normandy Beaches to the Buldge to the Surrender of Germany Jun 7, 1994-May 7, 1945","Stephen E. Ambrose","1997-10-07T03:00:00-04:00","War, History, Biography","4.25","24801","64936","246","261798","Demco Media"
"Rise to Globalism: American Foreign Policy Since 1938","Stephen E. Ambrose & Douglas Brinkley","1971-01-01T03:00:00-05:00","Politics, History","3.91","2324","179381","628","1713473","Penguin"
"The Collected Dashiell Hammett","Dashiell Hammett","2015-03-03T03:00:00-05:00","Crime","4.55","11","735941","2653","3616039","McClelland & Stewart"
"Zen Mind, Beginner's Mind","Shunryu Suzuki","1970-06-01T03:00:00-04:00","Religon, Religion, Spirituality, Psychology, Philosophy, Self Help","4.21","49998","39934","114","99202","Shambhala Library"
"The Maltese Falcon","Dashiell Hammett","1930-01-01T03:00:00-05:00","Mystery, Classics, Crime, Thriller","3.87","111761","68513","249","276431","Orion"
"The Thin Man","Dashiell Hammett","1934-12-01T03:00:00-05:00","Mystery, Detective, Classics, Crime, Fiction, General, Private Investigators, Thriller","3.9","38440","59315","219","208315","Alien Ebooks"
"Red Harvest","Dashiell Hammett","1929-01-01T03:00:00-05:00","Crime, Mystery, Classics, Thriller, Fiction:Detective","3.94","29881","61863","237","260137","Vintage Crime/Black Lizard"
"Hideous Kinky","Esther Freud","1992-01-30T03:00:00-05:00","Travel, Fiction, Biography, Contemporary","3.51","3925","52490","179","277661","Ecco Press"
"Tomato Rhapsody: A Fable of Love, Lust & Forbidden Fruit","Adam Schell","2009-01-01T03:00:00-05:00","Fiction, Cultural Heritage, Historical, General, Literary","3.84","903","104286","326","824775","Delacorte Press"
"Along for the Ride","Sarah Dessen","2009-06-16T03:00:00-04:00","Romance, Contemporary, Young Adult, Fiction","4.03","212255","99920","358","1261156","Viking Books for Young Readers"
"This Lullaby","Sarah Dessen","2002-05-27T03:00:00-04:00","Romance, Fiction:Young Adult, Contemporary, Young Adult, Music","4.01","180848","95015","335","337052","Paw Prints"
"Seven Sisters","Earlene Fowler","2000-01-01T03:00:00-05:00","Mystery, Contemporary, Romance","4.03","2074","90253","326","285791","Prime Crime"
"Human: The Science Behind What Makes Your Brain Unique","Michael S. Gazzaniga","2008-01-01T03:00:00-05:00","Psychology, Science, Philosophy","4.04","2632","169690","578","526312","HarperCollins e-books"
"Goose in the Pond","Earlene Fowler","1997-05-01T03:00:00-04:00","Mystery, Adult, Contemporary, Romance","4.0","2205","95455","335","549268","Demco Media"
"Blood Harvest","S. J. Bolton","2010-08-15T03:00:00-04:00","Fiction:Detective, Adult, Suspense, Crime, Thriller, Horror, Mystery","3.98","6947","128010","451","1006349","Macmillan"
"Provenance: How a Con Man and a Forger Rewrote the History of Modern Art","Laney Salisbury & Aly Sujo","2009-07-09T03:00:00-04:00","Art, History, Crime, Biography, True Crime, Mystery","3.93","6692","97211","352","362786","Penguin Books"
"The Abduction","James Grippando","1998-03-24T03:00:00-05:00","Suspense, Politics, Mystery, Thriller, Fiction:Detective","3.99","1386","118957","446","515541","HarperPaperbacks"
"Found Money","James Grippando","1998-01-01T03:00:00-05:00","Suspense, Crime, Fiction:Thriller, Mystery, Thriller","3.87","1302","109673","424","473588","Avon"
"Money to Burn","James Grippando","2010-02-23T03:00:00-05:00","Suspense, Crime, Fiction:Thriller, Mystery, Thriller","3.88","2486","95684","367","341548","Harper"
"Tommy's Honor: The Story of Old Tom Morris and Young Tom Morris, Golf's Founding Father and Son","Kevin Cook","2007-04-05T03:00:00-04:00","Sports, Autobiography, History, Biography","4.35","952","97640","287","523371","Gotham"
"Just Like Someone Without Mental Illness Only More So","Mark Vonnegut","2010-10-05T03:00:00-04:00","Psychology, Health, Autobiography, Biography","3.81","2755","52702","169","1784400","Delacorte Press"
"Hate List","Jennifer Brown","2009-09-01T03:00:00-04:00","Contemporary, Crime, Fiction:Young Adult, Romance, Thriller, Young Adult","4.0","65752","90230","290","313848","Little, Brown Books for Young Readers"
"Severed","Simon Kernick","2007-06-18T03:00:00-04:00","Mystery, Crime, Thriller, Fiction:Detective","3.97","3348","91458","303","315861","Corgi"
"The Business of Dying","Simon Kernick","2002-01-01T03:00:00-05:00","Fiction, Crime, Thrillers, General, Suspense, Mystery, Detective, Hard-Boiled","4.01","2757","104313","354","332136","Corgi"
"The Last 10 Seconds","Simon Kernick","2010-01-01T03:00:00-05:00","Suspense, Crime, Thriller, Fiction:Detective, Mystery","4.07","3588","94302","315","439435","Corgi"
