authors,title,#grscore,#votes,#pagecount,#wordcount
"Terry Pratchett","Going Postal","4.41","131196","445","117708"
"Terry Pratchett","Dark Side of the Sun","3.64","10378","186","48096"
"Terry Pratchett","Thief of Time","4.28","75448","425","102571"
"Terry Pratchett","Moving Pictures","3.97","85854","423","96702"
"Terry Pratchett & Paul Kidby","The Last Hero","4.17","38610","167","39377"
"Terry Pratchett","Sourcery","3.91","106406","330","79226"
"Terry Pratchett","Eric","3.79","78567","150","35230"
"Terry Pratchett","The Wee Free Men","4.29","117077","289","73300"
"Terry Pratchett","Feet of Clay","4.33","89733","397","93936"
"Terry Pratchett","Making Money","4.27","75373","431","112383"
"Terry Pratchett","The Fifth Elephant","4.31","77136","460","107594"
"Terry Pratchett","Guards! Guards!","4.34","224195","402","98207"
"Terry Pratchett","Pyramids","3.93","90885","355","87746"
"Terry Pratchett","The Colour of Magic","4.0","406880","258","66644"
"Terry Pratchett","Witches Abroad","4.25","94613","352","81261"
"Terry Pratchett","Soul Music","4.06","84081","433","95094"
"Terry Pratchett","Lords and Ladies","4.21","83359","397","88636"
"Terry Pratchett","Hogfather","4.26","100263","414","95643"
"Terry Pratchett","Jingo","4.19","70766","456","104757"
"Terry Pratchett","Equal Rites","4.07","190978","264","66593"
"Terry Pratchett","Maskerade","4.13","66833","375","85290"
"Terry Pratchett","Thud!","4.35","76929","423","111471"
"Terry Pratchett","The Last Continent","4.0","60419","398","95074"
"Terry Pratchett","Interesting Times","4.15","57838","410","93289"
"Terry Pratchett","Monstrous Regiment","4.26","82306","459","115930"
"Terry Pratchett","Light Fantastic","4.01","161739","193","45855"
"Terry Pratchett","Small Gods","4.32","128595","402","90898"
"Terry Pratchett","Wyrd Sisters","4.16","125942","352","85562"
"Terry Pratchett","Night Watch","4.5","115327","450","113938"
"Terry Pratchett","Unseen Academicals","4.01","57372","496","135554"
"James Blish","A Case of Conscience","3.61","7029","12","4455"
"David Lynch","Catching the Big Fish: Meditation, Consciousness, and Creativity","3.75","17639","62","18767"
"Yamamoto Tsunetomo","Hagakure: The Book of the Samurai","4.0","16336","109","37927"
"Roger Rosenblatt","Making Toast","3.65","5240","99","34042"
"Ron Rash","Burning Bright","4.11","3450","151","45189"
"T. S. Eliot","The Waste Land and Other Poems","4.22","71952","99","30495"
"Mulk Raj Anand","Untouchable","3.73","6329","166","56218"
"Bernard Beckett","Genesis","3.9","13422","134","34266"
"Nicholas Boothman","How to Make People Like You in 90 Seconds or Less","3.67","7296","88","32109"
"Warren Ellis","Crooked Little Vein","3.81","9713","207","52921"
"Zachary Mason & Homer","The Lost Books of the Odyssey","3.92","3412","148","50770"
"Katherine Paterson","Bridge to Terabithia","4.06","573702","115","32990"
"David Dosa","Making Rounds With Oscar: The Extraordinary Gift of an Ordinary Cat","4.05","7531","204","58056"
"Rolf Potts","Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel","3.95","27417","173","47328"
"Catherynne M. Valente","Palimpsest","3.66","5187","93","27653"
"Dava Sobel & William J. H. Andrewes","The Illustrated Longitude: The True Story of a Lone Genius Who Solved the Greatest Scientific Problem of His Time","3.99","74286","120","38982"
"Mario Vargas Llosa","Who Killed Palomino Molero?","3.58","7399","132","40360"
"Justin Halpern","Sh*t My Dad Says","3.98","159087","123","34801"
"Danielle Evans","Before You Suffocate Your Own Fool Self","4.06","4983","201","64736"
"Lois Lowry","The Giver","4.12","2690707","179","43695"
"Michael J. Fox","A Funny Thing Happened on the Way to the Future...","3.62","5353","51","17188"
"J. M. Coetzee","Disgrace","3.86","112632","242","65865"
"Robert T. Kiyosaki & Sharon L. Lechter","Rich Dad Poor Dad for Teens: The Secrets About Money - That You Don't Learn in School!","4.0","5036","146","57326"
"Gail Caldwell","Let's Take the Long Way Home: A Memoir of Friendship","3.96","12187","126","47352"
"Janni Lee Simner","Bones of Faerie","3.67","9357","168","49930"
"Arthur Miller & Christopher W. E. Bigsby","The Crucible","3.61","445958","178","46208"
"Paul Auster","Sunset Park","3.6","15779","225","81698"
"Noah J. Goldstein & Robert B. Cialdini & Steve J. Martin","Yes!: 50 Scientifically Proven Ways to Be Persuasive","3.97","12290","189","58253"
"Madeleine L'Engle","A Wrinkle in Time","3.98","1250347","185","49475"
"Garth Stein","The Art of Racing in the Rain","4.23","540809","253","70652"
"John Jackson Miller","Precipice","3.5","5685","41","11653"
"Dan Wells","I Am Not a Serial Killer","3.79","40771","176","71185"
"E. D. Baker","The Frog Princess","3.85","28034","178","51716"
"Janette Rallison","Just One Wish","4.0","10755","206","58965"
"Chinua Achebe","Things Fall Apart","3.74","396808","164","51961"
"Sun Tzu","The Art of War","3.95","537087","197","54590"
"Antoine de Saint-Exupéry","The Little Prince","4.33","2320962","101","17550"
"Edmond Rostand","Cyrano de Bergerac","4.06","88259","213","50643"
"Anthony Burgess","A Clockwork Orange","4.0","744815","147","59418"
"Albert Camus","The Stranger","4.03","1273298","105","35854"
"Leander Kahney","Inside Steve's Brain","3.95","5460","237","68614"
"Jessica Day George","Princess of Glass","4.06","22823","227","59951"
"Ludmilla Petrushevskaya","There Once Lived a Woman Who Tried to Kill Her Neighbor's Baby: Scary Fairy Tales","3.61","4487","174","53275"
"Robert Crais","The Sentry","4.23","22490","325","77245"
"Kelly Link","Magic for Beginners","3.8","10062","232","70919"
"Tera Lynn Childs","Oh. My. Gods.","3.78","15213","266","65356"
"Michael Ondaatje","Anil's Ghost","3.58","18509","248","77502"
"Sloane Crosley","How Did You Get This Number: Essays","3.53","13035","205","66721"
"Kevin David Anderson & Sam Stall","Night of the Living Trekkies","3.92","3658","253","60592"
"Leil Lowndes","How to Talk to Anyone: 92 Little Tricks for Big Success in Relationships","3.68","41798","204","77625"
"Lawrence M. Krauss","The Physics of Star Trek","3.85","6079","145","52240"
"Seth Grahame-Smith","Abraham Lincoln: Vampire Hunter","3.71","137814","240","90674"
"Tom McCarthy","Remainder","3.67","8243","287","85985"
"Chris Mooney","The Missing","3.91","4465","304","78125"
"Friedrich Nietzsche","Ecce Homo","3.81","18812","118","40338"
"Harriet Brown","Brave Girl Eating: A Family's Struggle With Anorexia","3.86","3296","251","81028"
"Jennifer Brown","Hate List","4.0","65752","290","90233"
"Esther Freud","Hideous Kinky","3.51","3925","179","52490"
"Doris Lessing","The Memoirs of a Survivor","3.59","3490","203","71934"
"Ellen Kushner","Thomas the Rhymer","3.88","3708","269","80377"
"Derek Landy","The Faceless Ones","4.4","30263","311","70320"
"Boris Akunin","Turkish Gambit","3.97","7811","239","70126"
"Nick Hornby","Juliet, Naked","3.5","46258","296","85450"
"Garth Nix","Shade's Children","3.91","13492","268","71708"
"Jayne Ann Krentz","In Too Deep","4.07","9755","354","89666"
"Antoinette van Heugten","Saving Max","3.83","11519","345","100975"
"Noah Boyd","The Bricklayer","3.97","5744","344","97129"
"Becca Fitzpatrick","Hush, Hush","3.92","730869","333","85598"
"H. P. Lovecraft","At the Mountains of Madness","3.79","59799","225","76536"
"Alice Sebold","The Lovely Bones","3.86","2426349","338","98629"
"Nicholas Pileggi","Wiseguy","4.24","20339","248","88794"
"Barbara Ehrenreich","Bright-Sided: How the Relentless Promotion of Positive Thinking Has Undermined America","3.73","10217","246","70462"
"George Carlin","When Will Jesus Bring the Pork Chops?","3.82","12516","204","74906"
